unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
0493593f550cde1f156c3b1749b76ca5a9118095,3eadc40f0f66886a6773acf85b7726e81975d9fb7ce9714def7bf5ceae7dfbcaa495822aeae16e682171de5cecc018084e39557835692db90ec5b52bf4bf350d,2013-10-08 19:15:00 UTC,2013-10-08 19:30:00 UTC,420,16.8,17031839100,17031081500,32,8,5.85,1.25,0,0,7.1,Credit Card,Taxi Affiliation Services,41.880.994.471,-87.632.746.489,POINT (-87.6327464887 41.8809944707),41.892.507.781,-87.626.214.906,POINT (-87.6262149064 41.8925077809)
049721c946bdb769ffae2d61403d5d0c6a408662,b5db0f19d98f8b1fcca97cda50345011f9040a678a994a4cacdda39d964668125f11e439be6a9ad02a936e974517658cf1e0e518aca4312e709a536f65c4f6cc,2017-01-11 17:00:00 UTC,2017-01-11 17:15:00 UTC,900,24.56,,,,,9.25,2,0,1,12.75,Credit Card,Sun Taxi,,,,,,
0497914880df78dde5364b9223fb439c56028b8f,8458a9cb2af02a94239d43ebe0c1447a8c91f6ea8705980bad21a972d90a5e758ad9eb95d3d6c713f670f7b0044db8c13bf41820f75bd7a47b2414b1af36406f,2014-03-18 21:00:00 UTC,2014-03-18 21:00:00 UTC,780,23.47,17031832600,17031032100,7,3,9.45,3,0,0,12.45,Credit Card,Choice Taxi Association,41.914.747.305,-87.654.007.029,POINT (-87.6540070286 41.9147473049),41.958.154.876,-87.653.021.789,POINT (-87.6530217894 41.9581548757)
049bbbed7bebc8688c99a66a0f38fa7a8a9ded65,bd0884a1e186d27425b5df5ad3e6845ce8883d10b0d88ad607ad6f01049456432000032ee7de7db0b28dba9f1731dee4f0f51f0e2f4557ba838c3b34155ce1b5,2013-07-06 23:45:00 UTC,2013-07-06 23:45:00 UTC,60,11.64,17031070200,17031063100,7,6,3.85,0,0,0,3.85,Cash,Blue Ribbon Taxi Association Inc.,41.929.077.655,-87.646.293.476,POINT (-87.6462934762 41.9290776551),41.938.232.293,-87.646.782.081,POINT (-87.6467820813 41.938232293)
049e8fcc1803c67d8a9c5930d1093682c37cf08a,e2220ffa732911479743dfff0d83d68d3e598ab3018c1f824779eeb63a3b52e141b3bdfcb64f15d88bc8a3eb405828e262b96896ca25679b512af498b5135e99,2015-07-21 00:30:00 UTC,2015-07-21 00:45:00 UTC,733,22.99,,,24,16,12.05,0,0,0,12.05,Cash,American United,41.901.206.994,-87.676.355.989,POINT (-87.6763559892 41.90120699410001),41.953.582.125,-8.772.345.239,POINT (-87.7234523905 41.9535821253)
049e9b3cd3ba9776e2519e8d3fa06108d31fd36f,0520dba051796dd5a5a6bb274310b504d97f3a3b0b7d186cd95bc506a3c1645432df86f732034a2f8a382743d99d953679a1f099e282d97a745b2eb7701982e8,2013-02-04 13:30:00 UTC,2013-02-04 13:45:00 UTC,1260,26.61,,,39,56,28.45,6.05,0,2,36.5,Credit Card,Taxi Affiliation Services,41.808.916.283,-87.596.183.344,POINT (-87.5961833442 41.8089162826),4.179.259.236,-87.769.615.453,POINT (-87.7696154528 41.7925923603)
04a00fdbe5c05a032e507448720ae3394b655296,06f79ca21abf264c71d54bbc85ea74802099d681476d4d7aafb63426f8149dcb3eb677e5fc9394f1eca733a0a097196eac7a78c529598fb9f651206f1cd218b1,2013-03-17 00:15:00 UTC,2013-03-17 00:30:00 UTC,600,20.88,,,16,16,8.05,0,0,0,8.05,Cash,Dispatch Taxi Affiliation,41.953.582.125,-8.772.345.239,POINT (-87.7234523905 41.9535821253),41.953.582.125,-8.772.345.239,POINT (-87.7234523905 41.9535821253)
04a16b1431e0fe9c67903bfd5f817466dbf33780,8d4a87f9c4150448fa72263beee9f6166bbbb39812be81ea983c70bc9b973d64f40650751b2820249222aa26ae738b3d1d5487535204a705defd90c507ccd185,2014-10-15 00:00:00 UTC,2014-10-15 00:00:00 UTC,13,10.6,,,,,7.85,1.96,0,0,9.81,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,
04a4945a2150baddf2efce5fb065e42cdde6f8d5,ff097593e973809c21672f451538a517b2445605cdbd656617ceb0d85ddb3eaea7ac5d6fd4363eb6a8cbc8ff1302e39ad28f6a5ec5dd2da1951698ade4790e0c,2015-02-28 15:45:00 UTC,2015-02-28 16:30:00 UTC,2820,29.5,,,76,6,32.65,6.5,0,3,42.15,Credit Card,Taxi Affiliation Services,41.980.264.315,-87.913.624.596,POINT (-87.913624596 41.9802643146),41.944.226.601,-87.655.998.182,POINT (-87.6559981815 41.9442266014)
04a57a36d2b3ae48bd635442c85d6a1c55f10b27,9d506b560a320cd2c1f296a89f1b8ad9fc4e328be72e9002ebe9be2a65bc2ddf272af64f16a7a13fe50c3f509f67965a24b6bd08374a9a47461feb15469fce90,2016-04-09 10:45:00 UTC,2016-04-09 11:00:00 UTC,696,22.22,,,,,7.6,0,0,0,7.6,Cash,Metro Group,,,,,,
04a77594df4f3ab496c9cbeee3016df4462b8f55,a4b7fac6c80107336cb12a2a6078f302c8898e5ee26c29d414bcba96260b33d74cc81dc932c13e18382a3474c6e0096384c791109f2e5f7c9aad6143c3847ad1,2019-07-24 17:15:00 UTC,2019-07-24 17:30:00 UTC,271,13.81,17031081100,17031081000,8,8,4.5,0,0,0,4.5,Cash,Taxi Affiliation Service Yellow,41.900.221.297,-87.629.105.186,POINT (-87.6291051864 41.9002212967),41.900.265.687,-8.763.210.922,POINT (-87.6321092196 41.9002656868)
04a846f8b9a974d7e7dab70608b9f3a4ae4a9a2f,d3cd199ba421a9cfd94cb5c200f40d1c1a7b6d4a640c2ed07634cdb3b92b7ab3e7875f83355ef8f77f57784c197ebadc5efb8d6b07d8cdd11b9dc13163144eb2,2016-10-22 23:45:00 UTC,2016-10-23 00:00:00 UTC,287,13.91,,,,,4.6,0,0,0,4.6,Cash,Norshore Cab,,,,,,
04acd83485e571bebc167d7e1cf1f0fe08fc3ad2,9077249de291bdcb3f9f87f79fe7c757933908fc76f93f4044e3584c43b3c4ed74abbc8fb02b1930505411c948cd1c3b019114c9575d29815c5d1601b0058ab5,2013-08-05 21:15:00 UTC,2013-08-05 21:30:00 UTC,360,15.47,17031839100,17031081600,32,8,5.65,0,0,1,6.65,Cash,Blue Ribbon Taxi Association Inc.,41.880.994.471,-87.632.746.489,POINT (-87.6327464887 41.8809944707),41.892.072.635,-87.628.874.157,POINT (-87.6288741572 41.8920726347)
